epoch,step,train_loss,train_mae,val_loss,val_mae
0,113,,,1.3046491146087646,0.5153481364250183
0,113,2.0990946292877197,0.0,,
1,227,,,1.235274076461792,0.4781530201435089
1,227,1.4309624433517456,0.0,,
2,341,,,1.222853422164917,0.4659785330295563
2,341,1.403314232826233,0.0,,
3,455,,,1.2143402099609375,0.46958354115486145
3,455,1.3939017057418823,0.0,,
4,569,,,1.2067235708236694,0.4603159725666046
4,569,1.3872758150100708,0.0,,
5,683,,,1.2032883167266846,0.45986950397491455
5,683,1.3837388753890991,0.0,,
6,797,,,1.1999601125717163,0.4581829309463501
6,797,1.3817483186721802,0.0,,
7,911,,,1.196793794631958,0.45714443922042847
7,911,1.37848699092865,0.0,,
8,1025,,,1.1967997550964355,0.45849937200546265
8,1025,1.3768916130065918,0.0,,
9,1139,,,1.1936874389648438,0.45711782574653625
9,1139,1.3733865022659302,0.0,,
10,1253,,,1.1944981813430786,0.45870792865753174
10,1253,1.3710782527923584,0.0,,
11,1367,,,1.1910089254379272,0.45712214708328247
11,1367,1.3693289756774902,0.0,,
12,1481,,,1.1917831897735596,0.4557006359100342
12,1481,1.370019793510437,0.0,,
13,1595,,,1.191262125968933,0.45817697048187256
13,1595,1.3668742179870605,0.0,,
14,1709,,,1.194440245628357,0.4573373794555664
14,1709,1.3653475046157837,0.0,,
15,1823,,,1.1885418891906738,0.4579680562019348
15,1823,1.3642059564590454,0.0,,
16,1937,,,1.1899449825286865,0.4595082998275757
16,1937,1.3630660772323608,0.0,,
17,2051,,,1.1852322816848755,0.45451417565345764
17,2051,1.361685872077942,0.0,,
18,2165,,,1.1912829875946045,0.45807069540023804
18,2165,1.3617278337478638,0.0,,
19,2279,,,1.1843464374542236,0.4533385634422302
19,2279,1.3594026565551758,0.0,,
20,2393,,,1.1846095323562622,0.4547945261001587
20,2393,1.3587616682052612,0.0,,
21,2507,,,1.1840579509735107,0.4544549584388733
21,2507,1.3580083847045898,0.0,,
22,2621,,,1.1852879524230957,0.45423251390457153
22,2621,1.356947898864746,0.0,,
23,2735,,,1.1852877140045166,0.453713983297348
23,2735,1.3559366464614868,0.0,,
24,2849,,,1.1843478679656982,0.455130398273468
24,2849,1.3558192253112793,0.0,,
25,2963,,,1.1825546026229858,0.45405149459838867
25,2963,1.3536298274993896,0.0,,
26,3077,,,1.1820110082626343,0.4527948200702667
26,3077,1.354161262512207,0.0,,
27,3191,,,1.180513620376587,0.45227327942848206
27,3191,1.3533880710601807,0.0,,
28,3305,,,1.1818076372146606,0.45261406898498535
28,3305,1.3524450063705444,0.0,,
29,3419,,,1.1796162128448486,0.45244795083999634
29,3419,1.3530821800231934,0.0,,
30,3533,,,1.1792607307434082,0.4526604413986206
30,3533,1.3513309955596924,0.0,,
31,3647,,,1.1836106777191162,0.45213764905929565
31,3647,1.3510546684265137,0.0,,
32,3761,,,1.1788110733032227,0.4517586827278137
32,3761,1.3515886068344116,0.0,,
33,3875,,,1.1782562732696533,0.4516032636165619
