epoch,step,train_loss,train_mae,val_loss,val_mae
33,3875,1.3489137887954712,0.0,,
34,3989,,,1.1780462265014648,0.45108869671821594
34,3989,1.3488744497299194,0.0,,
35,4103,,,1.178462266921997,0.4511730372905731
35,4103,1.348358392715454,0.0,,
36,4217,,,1.1779980659484863,0.45362764596939087
36,4217,1.3472965955734253,0.0,,
37,4331,,,1.1757102012634277,0.4506914019584656
37,4331,1.3482743501663208,0.0,,
38,4445,,,1.1780083179473877,0.4518015384674072
38,4445,1.3465290069580078,0.0,,
39,4559,,,1.1753686666488647,0.45109620690345764
39,4559,1.345990777015686,0.0,,
40,4673,,,1.1730937957763672,0.44960397481918335
40,4673,1.344580888748169,0.0,,
41,4787,,,1.1732956171035767,0.44961434602737427
41,4787,1.3451528549194336,0.0,,
42,4901,,,1.171587586402893,0.450031042098999
42,4901,1.3441705703735352,0.0,,
43,5015,,,1.173758864402771,0.4505099952220917
43,5015,1.3437949419021606,0.0,,
44,5129,,,1.1750117540359497,0.4515288770198822
44,5129,1.3446283340454102,0.0,,
45,5243,,,1.1758694648742676,0.45127707719802856
45,5243,1.3430516719818115,0.0,,
46,5357,,,1.1733721494674683,0.4503086805343628
46,5357,1.344010591506958,0.0,,
47,5471,,,1.1734117269515991,0.4517765939235687
47,5471,1.3423311710357666,0.0,,
48,5585,,,1.1729028224945068,0.45057132840156555
48,5585,1.3422825336456299,0.0,,
49,5699,,,1.171622395515442,0.4502825140953064
49,5699,1.3416272401809692,0.0,,
50,5813,,,1.1709234714508057,0.4495986998081207
50,5813,1.3412855863571167,0.0,,
51,5927,,,1.170499324798584,0.45067107677459717
51,5927,1.340061902999878,0.0,,
52,6041,,,1.1735007762908936,0.45020055770874023
52,6041,1.3405879735946655,0.0,,
53,6155,,,1.171512246131897,0.45056116580963135
53,6155,1.339505672454834,0.0,,
54,6269,,,1.1685850620269775,0.4499317705631256
54,6269,1.3398720026016235,0.0,,
55,6383,,,1.169964075088501,0.44847509264945984
55,6383,1.3392157554626465,0.0,,
56,6497,,,1.169193983078003,0.44975560903549194
56,6497,1.338165283203125,0.0,,
57,6611,,,1.169482707977295,0.4495512545108795
57,6611,1.3383808135986328,0.0,,
58,6725,,,1.168189287185669,0.44932612776756287
58,6725,1.3370451927185059,0.0,,
59,6839,,,1.1695774793624878,0.4518120288848877
59,6839,1.337998867034912,0.0,,
60,6953,,,1.16756010055542,0.449984073638916
60,6953,1.3362934589385986,0.0,,
61,7067,,,1.1680400371551514,0.4490935802459717
61,7067,1.337592601776123,0.0,,
62,7181,,,1.169223427772522,0.45142000913619995
62,7181,1.3358150720596313,0.0,,
63,7295,,,1.1689419746398926,0.4486030042171478
63,7295,1.336827039718628,0.0,,
64,7409,,,1.1679192781448364,0.4509536325931549
64,7409,1.3363276720046997,0.0,,
65,7523,,,1.1701328754425049,0.4506000578403473
65,7523,1.3352584838867188,0.0,,
66,7637,,,1.166327953338623,0.447945237159729
66,7637,1.3356537818908691,0.0,,
67,7751,,,1.167403221130371,0.44893205165863037
67,7751,1.335908055305481,0.0,,
68,7865,,,1.1680963039398193,0.4511426091194153
68,7865,1.3337697982788086,0.0,,
69,7979,,,1.1657732725143433,0.45009341835975647
69,7979,1.333500623703003,0.0,,
70,8093,,,1.1692276000976562,0.4493064284324646
70,8093,1.3339215517044067,0.0,,
71,8207,,,1.168840765953064,0.4486377239227295
71,8207,1.3344144821166992,0.0,,
72,8321,,,1.164886474609375,0.4481276869773865
72,8321,1.3330771923065186,0.0,,
73,8435,,,1.1681760549545288,0.45063915848731995
73,8435,1.3325424194335938,0.0,,
74,8549,,,1.1656215190887451,0.4507465660572052
74,8549,1.3326703310012817,0.0,,
75,8663,,,1.1659671068191528,0.4475419521331787
75,8663,1.3333649635314941,0.0,,
76,8777,,,1.165050983428955,0.4487776756286621
76,8777,1.3327627182006836,0.0,,
77,8891,,,1.1663777828216553,0.44988200068473816
77,8891,1.3311328887939453,0.0,,
78,9005,,,1.1635843515396118,0.4469309151172638
78,9005,1.3310762643814087,0.0,,
79,9119,,,1.1636865139007568,0.44829514622688293
79,9119,1.3308948278427124,0.0,,
80,9233,,,1.1629693508148193,0.447063148021698
80,9233,1.3312331438064575,0.0,,
81,9347,,,1.1653985977172852,0.44934868812561035
81,9347,1.3300964832305908,0.0,,
82,9461,,,1.1638813018798828,0.44803568720817566
82,9461,1.33029043674469,0.0,,
83,9575,,,1.1658748388290405,0.4486740827560425
83,9575,1.3305811882019043,0.0,,
84,9689,,,1.166094183921814,0.4469252824783325
84,9689,1.3300197124481201,0.0,,
85,9803,,,1.1634914875030518,0.4470245838165283
85,9803,1.3294798135757446,0.0,,
86,9917,,,1.1630723476409912,0.4477557837963104
86,9917,1.329643964767456,0.0,,
87,10031,,,1.1637804508209229,0.4467746317386627
87,10031,1.3290656805038452,0.0,,
88,10145,,,1.1642788648605347,0.44906628131866455
88,10145,1.3292341232299805,0.0,,
89,10259,,,1.1632146835327148,0.44949695467948914
89,10259,1.329866886138916,0.0,,
90,10373,,,1.1630443334579468,0.4491337537765503
90,10373,1.328046202659607,0.0,,
91,10487,,,1.162229061126709,0.447383850812912
91,10487,1.3276017904281616,0.0,,
92,10601,,,1.1632903814315796,0.4477219581604004
92,10601,1.326635718345642,0.0,,
93,10715,,,1.1631006002426147,0.4486179053783417
93,10715,1.3283741474151611,0.0,,
94,10829,,,1.1624003648757935,0.4484974443912506
94,10829,1.328076958656311,0.0,,
95,10943,,,1.161312460899353,0.4470610022544861
95,10943,1.3276809453964233,0.0,,
96,11057,,,1.1607861518859863,0.44662004709243774
96,11057,1.327161431312561,0.0,,
97,11171,,,1.164635181427002,0.44879305362701416
97,11171,1.3275096416473389,0.0,,
98,11285,,,1.1630451679229736,0.4487713575363159
98,11285,1.326946496963501,0.0,,
99,11399,,,1.1609853506088257,0.44647127389907837
99,11399,1.3254376649856567,0.0,,
